               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.036789,           0.0094104,                   0,             0.92703,             0.87858,             0.92556,              0.5408,            0.030328,           0.0048211,                   0,           0.0080721,           0.0080721,           0.0080721
                 100,            0.036467,           0.0096575,                   0,              0.9281,             0.89381,              0.9314,             0.55502,            0.030275,            0.004598,                   0,           0.0080362,           0.0080362,           0.0080362
                 101,            0.036448,           0.0094426,                   0,              0.9374,             0.89581,             0.93494,             0.55801,            0.030124,           0.0046767,                   0,               0.008,               0.008,               0.008
                 102,            0.036144,           0.0089784,                   0,             0.92144,             0.89805,             0.93322,              0.5593,            0.029807,           0.0047126,                   0,           0.0079636,           0.0079636,           0.0079636
                 103,            0.036446,           0.0094353,                   0,             0.92312,             0.90726,             0.93722,             0.56475,            0.029551,           0.0046085,                   0,            0.007927,            0.007927,            0.007927
                 104,            0.036135,           0.0092176,                   0,             0.94088,             0.89204,             0.93807,              0.5712,            0.029468,           0.0046333,                   0,           0.0078902,           0.0078902,           0.0078902
                 105,            0.036651,           0.0093483,                   0,             0.93265,             0.88885,             0.93034,             0.56685,            0.029407,           0.0046872,                   0,           0.0078532,           0.0078532,           0.0078532
                 106,            0.036532,           0.0091958,                   0,             0.92133,             0.89551,             0.92713,             0.56009,            0.029744,           0.0047483,                   0,            0.007816,            0.007816,            0.007816
                 107,            0.036005,           0.0092816,                   0,             0.93879,             0.89588,             0.93448,             0.57298,            0.029152,           0.0046015,                   0,           0.0077785,           0.0077785,           0.0077785
                 108,            0.035917,           0.0091909,                   0,             0.90958,             0.91186,             0.93471,             0.57307,            0.028981,           0.0045403,                   0,           0.0077409,           0.0077409,           0.0077409
                 109,            0.035761,           0.0091836,                   0,             0.92579,              0.8892,             0.93361,             0.56671,            0.029497,           0.0045618,                   0,           0.0077031,           0.0077031,           0.0077031
                 110,            0.035903,           0.0090916,                   0,             0.93157,             0.88566,             0.93351,              0.5731,            0.028831,           0.0045194,                   0,           0.0076651,           0.0076651,           0.0076651
                 111,            0.035706,           0.0090829,                   0,             0.93916,             0.90157,              0.9414,             0.57596,            0.029127,           0.0046084,                   0,           0.0076269,           0.0076269,           0.0076269
                 112,            0.035108,           0.0089029,                   0,             0.92796,             0.90159,             0.93724,             0.57406,            0.028713,           0.0045059,                   0,           0.0075886,           0.0075886,           0.0075886
                 113,            0.035285,           0.0090616,                   0,             0.93158,             0.90655,             0.94072,             0.58386,            0.028596,           0.0044842,                   0,           0.0075501,           0.0075501,           0.0075501
                 114,            0.035302,           0.0091519,                   0,             0.94277,             0.90159,             0.94112,             0.58544,            0.028104,           0.0044862,                   0,           0.0075114,           0.0075114,           0.0075114
                 115,            0.035408,           0.0089332,                   0,              0.9411,             0.90501,             0.94369,             0.59217,            0.027844,           0.0044401,                   0,           0.0074725,           0.0074725,           0.0074725
                 116,            0.035389,           0.0090314,                   0,             0.93574,             0.91231,             0.94503,             0.59046,            0.028037,           0.0043684,                   0,           0.0074335,           0.0074335,           0.0074335
                 117,            0.035342,           0.0088574,                   0,             0.94665,              0.9115,             0.94707,             0.59637,            0.027847,           0.0044739,                   0,           0.0073943,           0.0073943,           0.0073943
                 118,            0.035591,           0.0089562,                   0,             0.93734,             0.91608,             0.94341,             0.59759,              0.0278,           0.0044353,                   0,            0.007355,            0.007355,            0.007355
                 119,            0.035153,           0.0090356,                   0,             0.94862,             0.90867,             0.94541,             0.59791,            0.027835,           0.0043949,                   0,           0.0073155,           0.0073155,           0.0073155
                 120,            0.034656,             0.00886,                   0,              0.9458,             0.91646,             0.94826,             0.60086,             0.02754,           0.0043625,                   0,           0.0072758,           0.0072758,           0.0072758
                 121,            0.035074,           0.0087854,                   0,             0.94954,             0.91924,             0.95237,              0.6042,            0.027349,           0.0043736,                   0,           0.0072361,           0.0072361,           0.0072361
                 122,            0.035083,           0.0088999,                   0,             0.93426,                0.92,             0.94817,             0.60421,            0.027476,           0.0044008,                   0,           0.0071962,           0.0071962,           0.0071962
                 123,            0.034285,           0.0091132,                   0,             0.93851,             0.92956,             0.95105,             0.60962,            0.026872,           0.0043001,                   0,           0.0071561,           0.0071561,           0.0071561
                 124,            0.034686,           0.0087208,                   0,             0.94429,             0.92406,             0.94889,             0.60294,            0.027043,           0.0043058,                   0,            0.007116,            0.007116,            0.007116
                 125,            0.033493,           0.0088789,                   0,             0.93844,             0.92319,             0.95171,             0.60421,            0.026871,           0.0042782,                   0,           0.0070757,           0.0070757,           0.0070757
                 126,            0.034448,           0.0086943,                   0,              0.9457,             0.91858,              0.9521,             0.61073,            0.026662,           0.0042371,                   0,           0.0070353,           0.0070353,           0.0070353
                 127,            0.033732,           0.0089654,                   0,             0.95195,             0.92602,             0.95328,             0.61198,            0.026725,            0.004305,                   0,           0.0069948,           0.0069948,           0.0069948
                 128,             0.03373,           0.0088563,                   0,             0.95372,             0.91185,             0.95323,             0.61248,            0.026761,           0.0043251,                   0,           0.0069541,           0.0069541,           0.0069541
                 129,            0.033806,           0.0086777,                   0,             0.95236,              0.9292,             0.95447,             0.62407,            0.026254,           0.0042848,                   0,           0.0069134,           0.0069134,           0.0069134
                 130,            0.034065,           0.0086991,                   0,             0.96156,             0.92099,             0.95767,             0.62312,            0.026046,           0.0042132,                   0,           0.0068726,           0.0068726,           0.0068726
                 131,            0.034059,           0.0089013,                   0,             0.94989,             0.93268,             0.95411,             0.62631,             0.02628,           0.0042393,                   0,           0.0068316,           0.0068316,           0.0068316
                 132,            0.033286,           0.0086748,                   0,             0.95307,             0.92738,              0.9557,             0.62726,            0.026078,           0.0041981,                   0,           0.0067906,           0.0067906,           0.0067906
                 133,            0.033602,           0.0085884,                   0,             0.94217,             0.92885,             0.95551,             0.62592,            0.025998,           0.0041492,                   0,           0.0067495,           0.0067495,           0.0067495
                 134,            0.033467,           0.0087909,                   0,             0.94732,             0.93027,             0.95518,             0.62162,            0.026036,           0.0041901,                   0,           0.0067083,           0.0067083,           0.0067083
                 135,            0.033285,           0.0086332,                   0,             0.95483,             0.92814,              0.9572,             0.63138,            0.025974,           0.0041787,                   0,           0.0066671,           0.0066671,           0.0066671
                 136,            0.033144,            0.008547,                   0,             0.94804,             0.92602,             0.95461,             0.62993,            0.025822,           0.0042008,                   0,           0.0066257,           0.0066257,           0.0066257
                 137,            0.032389,            0.008784,                   0,              0.9425,             0.93522,             0.95909,             0.63302,            0.025545,           0.0041369,                   0,           0.0065843,           0.0065843,           0.0065843
                 138,            0.032911,           0.0084648,                   0,             0.94905,             0.92991,             0.95647,             0.63287,            0.025545,           0.0041349,                   0,           0.0065429,           0.0065429,           0.0065429
                 139,            0.033036,           0.0085182,                   0,             0.96202,             0.92319,             0.95688,             0.63802,            0.025377,           0.0040789,                   0,           0.0065013,           0.0065013,           0.0065013
                 140,            0.032852,           0.0086758,                   0,             0.97047,             0.91893,              0.9587,              0.6374,            0.025273,           0.0041461,                   0,           0.0064597,           0.0064597,           0.0064597
                 141,            0.032822,           0.0086054,                   0,              0.9504,             0.94336,             0.96082,             0.63581,            0.025509,           0.0040599,                   0,           0.0064181,           0.0064181,           0.0064181
